plate #	biological group	sample name	replicate	unique sample name	DNA input (ng)	normalization factor	Cq	Log10 qPCR DNA quantity 	qPCR DNA quantity (ng)	normalized qPCR DNA quantity (ng)	Akkermancia Gene Copies	Akkermancia Gene Copies Corrected	Akkermancia Muciniphillia Cells	Akkermancia Muciniphillia Corrected Cell Count	qPCR Outlier
Plate4	Qa-1-/-	187	A	Qa-1-/-187_A	2.87	0.29	21.81	-2.55	0.002788	0.0097132	" 6,280,803.78 "	27524133.99	" 2,093,601.26 "	" 9,174,711.33 "	 No 
Plate4	Qa-1-/-	187	B	Qa-1-/-187_B	2.87	0.29	21.73	-2.53	0.002919	0.0101694	" 6,575,775.23 "	28816776.46	" 2,191,925.08 "	" 9,605,592.15 "	 No 
Plate4	Qa-1-/-	187	C	Qa-1-/-187_C	2.87	0.29	21.79	-2.55	0.002815	0.0098092	" 6,342,900.55 "	27796258.39	" 2,114,300.18 "	" 9,265,419.46 "	 No 
Plate4	Qa-1-/-	188	A	Qa-1-/-188_A	2.43	0.24	25.57	-3.59	0.000256	0.0010528	" 680,791.14 "	2983405.83	" 226,930.38 "	" 994,468.61 "	 No 
Plate4	Qa-1-/-	188	B	Qa-1-/-188_B	2.43	0.24	25.33	-3.53	0.000298	0.0012257	" 792,548.20 "	3473154.66	" 264,182.73 "	" 1,157,718.22 "	 No 
Plate4	Qa-1-/-	188	C	Qa-1-/-188_C	2.43	0.24	25.19	-3.49	0.000326	0.0013395	" 866,186.74 "	3795858.12	" 288,728.91 "	" 1,265,286.04 "	 No 
Plate5	Qa-1-/-	189	A	Qa-1-/-189_A	4.01	0.40	22.69	-2.80	0.001593	0.0039729	" 2,568,972.86 "	11257914.69	" 856,324.29 "	" 3,752,638.23 "	 No 
Plate5	Qa-1-/-	189	B	Qa-1-/-189_B	4.01	0.40	22.64	-2.78	0.001643	0.0040966	" 2,648,953.29 "	11608409.97	" 882,984.43 "	" 3,869,469.99 "	 No 
Plate5	Qa-1-/-	189	C	Qa-1-/-189_C	4.01	0.40	22.57	-2.77	0.001713	0.0042713	" 2,761,940.52 "	12103549.75	" 920,646.84 "	" 4,034,516.58 "	 No 
Plate5	Qa-1-/-	190	A	Qa-1-/-190_A	9.00	0.90	34.07	-5.93	0.000001	0.0000013	 842.50 	3692.04	 280.83 	" 1,230.68 "	 No 
Plate5	Qa-1-/-	190	B	Qa-1-/-190_B	9.00	0.90	33.40	-5.75	0.000002	0.0000020	" 1,286.01 "	5635.65	 428.67 	" 1,878.55 "	 No 
Plate5	Qa-1-/-	190	C	Qa-1-/-190_C	9.00	0.90	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
Plate5	Qa-1-/-	191	A	Qa-1-/-191_A	9.88	0.99	31.53	-5.23	0.000006	0.0000059	" 3,841.06 "	16832.54	" 1,280.35 "	" 5,610.85 "	 No 
Plate5	Qa-1-/-	191	B	Qa-1-/-191_B	9.88	0.99	31.60	-5.25	0.000006	0.0000057	" 3,659.92 "	16038.72	" 1,219.97 "	" 5,346.24 "	 No 
Plate5	Qa-1-/-	191	C	Qa-1-/-191_C	9.88	0.99	31.50	-5.22	0.000006	0.0000060	" 3,905.78 "	17116.17	" 1,301.93 "	" 5,705.39 "	 No 
Plate5	Qa-1-/-	192	A	Qa-1-/-192_A	11.50	1.15	31.59	-5.25	0.000006	0.0000049	" 3,175.92 "	13917.71	" 1,058.64 "	" 4,639.24 "	 No 
Plate5	Qa-1-/-	192	B	Qa-1-/-192_B	11.50	1.15	31.44	-5.21	0.000006	0.0000054	" 3,485.48 "	15274.27	" 1,161.83 "	" 5,091.42 "	 No 
Plate5	Qa-1-/-	192	C	Qa-1-/-192_C	11.50	1.15	31.58	-5.25	0.000006	0.0000049	" 3,183.08 "	13949.10	" 1,061.03 "	" 4,649.70 "	 No 
Plate5	Qa-1-/-	193	A	Qa-1-/-193_A	40.20	4.02	31.59	-5.25	0.000006	0.0000014	 907.04 	3974.89	 302.35 	" 1,324.96 "	 No 
Plate5	Qa-1-/-	193	B	Qa-1-/-193_B	40.20	4.02	32.90	-5.61	0.000002	0.0000006	 395.06 	1731.24	 131.69 	 577.08 	 No 
Plate5	Qa-1-/-	193	C	Qa-1-/-193_C	40.20	4.02	33.41	-5.75	0.000002	0.0000004	 285.19 	1249.78	 95.06 	 416.59 	 No 
Plate5	Qa-1-/-	194	A	Qa-1-/-194_A	7.00	0.70	20.57	-2.21	0.006121	0.0087443	" 5,654,299.64 "	24778628.09	" 1,884,766.55 "	" 8,259,542.70 "	 No 
Plate5	Qa-1-/-	194	B	Qa-1-/-194_B	7.00	0.70	20.56	-2.21	0.006153	0.0087893	" 5,683,408.51 "	24906190.83	" 1,894,469.50 "	" 8,302,063.61 "	 No 
